Gene	nascentRNA	PCNA	log2ratio
APEX1	615.575	209.74166666666667	1.553321150009046
APEX1	556.2147239263803	264.60122699386505	1.0718221841048778
APEX1	554.7158469945355	234.86338797814207	1.2399271063751984
APEX1	420.1730769230769	172.02884615384616	1.2883332233058369
APEX1	477.5133689839572	173.75935828877004	1.45845044473109
APEX1	405.7867298578199	206.92417061611374	0.9716195116006702
APEX1	616.6212121212121	213.2348484848485	1.531941286105802
APEX1	429.4468085106383	176.9255319148936	1.2793371928517985
APEX1	392.0655737704918	181.18032786885246	1.1136686487477225
APEX1	495.3030303030303	218.1439393939394	1.1830310550711556
APEX1	575.8086419753087	239.93827160493828	1.262926147063141
APEX1	531.0558659217877	209.64804469273744	1.340894262611302
APEX1	298.41129032258067	208.71774193548387	0.5157488794617469
APEX1	507.06802721088434	228.78231292517006	1.1482037870181991
APEX1	427.5416666666667	189.70833333333334	1.1722819731748937
APEX1	390.1709401709402	182.56410256410257	1.0957032131840305
APEX1	498.6363636363636	217.85314685314685	1.19463214398056
APEX1	516.3	266.77142857142854	0.9526054370699225
APEX1	562.2931034482758	213.43103448275863	1.3975523821041105
APEX1	500.54887218045116	194.58646616541353	1.3630995650101165
APEX1	625.5777777777778	229.76296296296297	1.4450430060973876
APEX1	439.68595041322317	232.76859504132233	0.9175770097852157
APEX1	609.5294117647059	228.21848739495798	1.417280171835522
APEX1	520.4537037037037	208.63888888888889	1.318761744535358
APEX1	490.5229357798165	202.21100917431193	1.2784590498322714
APEX1	317.1209677419355	147.80645161290323	1.1013240270997937
APEX1	475.8602941176471	215.77941176470588	1.1409808617108546
APEX1	415.3103448275862	176.74137931034483	1.2325499595742535
APEX1	411.1417322834646	184.8503937007874	1.153277701554887
APEX1	526.0993377483444	223.0728476821192	1.2378203138814585
APEX1	495.94557823129253	222.7074829931973	1.155031783906137
APEX1	519.8035714285714	221.25	1.232289091012686
APEX1	457.31868131868134	199.03846153846155	1.200152614611337
APEX1	527.5714285714286	201.27380952380952	1.390206979598701
APEX1	471.09375	228.1953125	1.0457450352536015
APEX1	493.38	205.30666666666667	1.2649187596794222
APEX1	592.2763819095477	223.02010050251258	1.4090968130350439
APEX1	588.3008849557522	227.15929203539824	1.372849885857675
APEX1	539.1675977653631	194.1340782122905	1.4736804074568108
APEX1	293.72868217054264	210.96899224806202	0.47745317915978985
APEX1	374.87333333333333	191.65333333333334	0.967904112513044
APEX1	409.4375	170.015625	1.267975902593671
APEX1	592.4814814814815	201.98765432098764	1.5525029452724777
APEX1	273.97058823529414	165.66666666666666	0.7257376717375308
APEX1	670.0785714285714	226.81428571428572	1.5628187615146865
APEX1	379.8828125	164.296875	1.2092494000291372
APEX1	394.6666666666667	194.73529411764707	1.019120291157363
APEX1	317.8423913043478	188.02173913043478	0.7574120763889893
APEX1	469.9568345323741	212.4748201438849	1.1452363703213002
APEX1	432.14	172.32	1.3264086217110909
APEX1	421.3119266055046	177.76146788990826	1.2449461215148394
APEX1	502.344	216.976	1.2111401722061295
APEX1	478.6475409836066	172.86885245901638	1.469285750274748
APEX1	652.0366972477065	242.89908256880733	1.4245961220784953
APEX1	392.3893805309734	169.32743362831857	1.2124702667812524
APEX1	577.2519083969465	217.16030534351145	1.4104406200448267
APEX1	488.828025477707	184.62420382165604	1.4047353006015426
APEX1	435.19083969465646	165.94656488549617	1.3909294239494765
APEX1	523.0288461538462	188.16346153846155	1.4749040103793132
APEX1	500.4018691588785	178.77570093457945	1.4849365186669914
APEX1	546.8301886792453	199.6320754716981	1.4537493501986452
APEX1	333.28	178.89	0.8976620018953204
APEX1	520.1192660550458	218.73394495412845	1.2496653514865514
APEX1	550.4105960264901	196.49668874172184	1.486003242663695
APEX1	497.27522935779814	188.52293577981652	1.3993045152777703
APEX1	463.9465648854962	176.01526717557252	1.3982580818336654
APEX1	747.5862068965517	296.92241379310343	1.3321539491304262
APEX1	512.6818181818181	185.63636363636363	1.465584392242227
APEX1	549.2952380952381	183.82857142857142	1.579220771085268
APEX1	570.8793103448276	209.04310344827587	1.4493853293717627
APEX1	599.7172413793104	201.2896551724138	1.5750094195918045
APEX1	528.0550458715596	191.89908256880733	1.4603405135030223
APEX1	415.6587301587302	178.5873015873016	1.2187700114777202
APEX1	647.3055555555555	269.6875	1.2631582316892376
APEX1	415.13868613138686	228.87591240875912	0.8590277434173147
APEX1	545.6363636363636	214.7062937062937	1.3455753135108777
APEX1	284.52	238.20666666666668	0.25631627832175713
APEX1	395.23809523809524	169.86772486772486	1.2183102443128642
APEX1	553.25	255.39	1.1152295097595526
APEX1	440.94814814814816	192.45185185185184	1.1961114633352163
APEX1	245.1868131868132	168.1153846153846	0.5444296341850393
APEX1	406.6054421768707	171.95238095238096	1.241620432549024
APEX1	538.8666666666667	187.08666666666667	1.5262216030013556
APEX1	537.9578947368421	215.0421052631579	1.322874092051178
APEX1	468.1186440677966	181.94915254237287	1.3633388937447384
APEX1	388.0603448275862	170.93965517241378	1.182793897078932
APEX1	539.7416666666667	181.96666666666667	1.5685948675882027
APEX1	372.2542372881356	174.17796610169492	1.0957261394183875
APEX1	380.0194174757282	189.05825242718447	1.007242311797814
APEX1	489.02884615384613	238.00480769230768	1.0389288511390171
APEX1	465.8970588235294	191.36764705882354	1.283664276887347
APEX1	534.6036036036036	213.7117117117117	1.3228035904466882
APEX1	582.8297872340426	204.4468085106383	1.511349070425287
APEX1	329.3009708737864	182.06796116504853	0.8549296944765901
APEX1	548.0461538461539	264.8974358974359	1.0488635161747373
APEX1	676.2972972972973	226.7972972972973	1.576254140251817
APEX1	423.09166666666664	184.44166666666666	1.1978056627251588
APEX1	601.9769230769231	234.63846153846154	1.3592686651269612
APEX1	446.56050955414014	199.14012738853503	1.1650717175928473
APEX1	426.25210084033614	185.12605042016807	1.2031990231637035
APEX1	503.4172185430464	210.80132450331126	1.2558706305903924
APEX1	540.0	229.03623188405797	1.2373835669244453
APEX1	520.9012345679013	206.84567901234567	1.3324550362504526
APEX1	676.8503401360545	229.05442176870747	1.5631464580427388
APEX1	609.5275590551181	201.21259842519686	1.5989708133158016
APEX1	678.952	226.488	1.5838749695143486
APEX1	472.89156626506025	182.60843373493975	1.3727560149817968
APEX1	456.3818181818182	194.6	1.2297296070522157
APEX1	602.0363636363636	202.8909090909091	1.5691464060551048
APEX1	502.78625954198475	216.1908396946565	1.2176398280425893
APEX1	413.62857142857143	188.55238095238096	1.1333704750955995
APEX1	472.90909090909093	192.52727272727273	1.2965000482094924
APEX1	586.3155339805825	223.59708737864077	1.3907758848767886
APEX1	426.9407894736842	211.98684210526315	1.010061282374904
APEX1	280.8828125	195.8984375	0.5198624566016656
APEX1	294.95384615384614	164.3923076923077	0.8433464283545785
APEX1	661.8951048951049	205.3006993006993	1.6888640596635858
APEX1	623.3653846153846	215.94230769230768	1.529432118846908
APEX1	440.7809523809524	191.92380952380952	1.1995281822851833
APEX1	449.5833333333333	172.2314814814815	1.3842396827704109
APEX1	601.9020979020979	229.75524475524475	1.3894310500747786
APEX1	528.5212121212121	209.38787878787878	1.3357834463159084
APEX1	469.58181818181816	192.6090909090909	1.285700751378368
APEX1	456.92857142857144	180.87301587301587	1.3369914652152013
APEX1	664.1398601398602	230.76223776223776	1.525079929610337
APEX1	534.2923076923076	214.36923076923077	1.3175314014052875
APEX1	512.3924050632911	212.98101265822785	1.2665242721413437
APEX1	400.4818181818182	169.1818181818182	1.2431622143218022
APEX1	685.3835616438356	220.67123287671234	1.6350130210334033
APEX1	401.1592920353982	167.69911504424778	1.2583001389719803
APEX1	482.2892561983471	217.73553719008265	1.1473217792089394
APEX1	517.3581081081081	228.11486486486487	1.1814027783982803
APEX1	366.9685039370079	172.28346456692913	1.0908720040504405
APEX1	516.7515923566879	218.19108280254778	1.2438787875659285
APEX1	603.7129629629629	216.5648148148148	1.4790639111326271
APEX1	403.91818181818184	164.9090909090909	1.2923921563076244
APEX1	545.4947916666666	208.21875	1.389465433403696
APEX1	503.64935064935065	206.2077922077922	1.2883208035926936
APEX1	435.39	168.25	1.3717017673756762
APEX1	721.6258992805756	238.31654676258992	1.5983719940866445
APEX1	518.4181818181818	225.3212121212121	1.2021331791829917
APEX1	355.2878787878788	171.90151515151516	1.0474062087854008
APEX1	356.6666666666667	164.43809523809523	1.1170318250799505
APEX1	649.3877551020408	194.16326530612244	1.7418099052559557
APEX1	613.1287878787879	238.54545454545453	1.361925948050687
APEX1	422.2277227722772	182.37623762376236	1.211103538307348
APEX1	402.34	239.57	0.747967916656181
APEX1	358.8811881188119	210.52475247524754	0.7695164334360547
APEX1	500.7583333333333	226.50833333333333	1.1445503961593644
APEX1	454.56953642384104	200.89403973509934	1.178066241466629
APEX1	525.7034482758621	234.06896551724137	1.1673155334502672
APEX1	460.90277777777777	187.72916666666666	1.2958096497070668
APEX1	368.97391304347826	166.88695652173914	1.1446476178191531
APEX1	345.1357142857143	169.4	1.0267298954143262
APEX1	378.0747663551402	176.21495327102804	1.1013352096504179
APEX1	431.68932038834953	193.11165048543688	1.1605581970916286
APEX1	480.7793103448276	230.09655172413792	1.0631354498623984
APEX1	342.7142857142857	156.46031746031747	1.131209533128389
APEX1	380.3333333333333	159.47407407407408	1.253942483714537
APEX1	370.0143884892086	188.98561151079136	0.9693049743908159
APEX1	360.85955056179773	184.5561797752809	0.9673773915027358
APEX1	442.85087719298247	178.0	1.3149437353485942
APEX1	405.83673469387753	217.38095238095238	0.9006739255859315
APEX1	403.3135593220339	171.16101694915255	1.2365477538427283
APEX1	458.3360655737705	184.50819672131146	1.3127209040424626
APEX1	654.5255474452555	200.47445255474452	1.7070311058807575
APEX1	490.8457142857143	211.2342857142857	1.2164255993805828
APEX1	446.1693548387097	167.88709677419354	1.4101000714657137
APEX1	399.2352941176471	169.80672268907563	1.2333456900956727
APEX1	373.7787610619469	165.858407079646	1.1722324525513932
APEX1	700.2634730538922	214.11377245508982	1.7095202387061819
APEX1	307.1880341880342	165.22222222222223	0.8947142794105373
APEX1	475.9083969465649	226.6946564885496	1.0699335245602175
APEX1	401.4375	220.25	0.8660333721862521
APEX1	399.77037037037036	196.45925925925926	1.0249413837581642
APEX1	469.4059405940594	176.2871287128713	1.4129089573633324
APEX1	501.48026315789474	206.96052631578948	1.2768372935469618
APEX1	511.1803278688525	214.9262295081967	1.2499907576350051
APEX1	321.0612244897959	171.35374149659864	0.9058707437097087
APEX1	458.59	171.43	1.419585294824104
APEX1	534.5037593984962	180.9248120300752	1.56280982235032
APEX1	454.03921568627453	178.04575163398692	1.3505688976497077
APEX1	428.2105263157895	155.9561403508772	1.457179904596796
APEX1	463.46527777777777	212.5	1.1249984167930556
APEX1	349.22340425531917	167.24468085106383	1.062189921480238
APEX1	505.4313725490196	177.64705882352942	1.5085014131652887
APEX1	465.5947712418301	177.4967320261438	1.3912823937316625
APEX1	392.17692307692306	181.36153846153846	1.1126361109164797
APEX1	523.8145161290323	210.53225806451613	1.3150147386063393
APEX1	750.9032258064516	233.34677419354838	1.686151465940784
APEX1	427.39639639639637	180.26126126126127	1.2454853537650634
APEX1	nan	nan	nan
APEX1	nan	nan	nan
APEX1	nan	nan	nan
APEX1	nan	nan	nan
APEX1	nan	nan	nan
APEX1	nan	nan	nan
APEX1	nan	nan	nan
